t	V	DV/V0 in %
0.01	54	-1.89309e-07
0.02	54	-5.94574e-06
0.03	54	-1.52192e-05
0.04	54	2.49356e-07
0.05	54.0001	0.000113212
0.06	54.0002	0.00043848
0.07	54.0006	0.00110727
0.08	54.0012	0.00223866
0.09	54.0021	0.00393054
0.1	54.0034	0.00627351
0.11	54.0051	0.00937268
0.12	54.0072	0.0133591
0.13	54.0099	0.018382
0.14	54.0133	0.0245858
0.15	54.0173	0.0320873
0.16	54.0221	0.0409643
0.17	54.0277	0.0512622
0.18	54.034	0.0630132
0.19	54.0412	0.0762598
0.2	54.0492	0.0910717
0.21	54.0581	0.107546
0.22	54.0679	0.125787
0.23	54.0788	0.145881
0.24	54.0906	0.16786
0.25	54.1035	0.191694
0.26	54.1173	0.217303
0.27	54.1321	0.24459
0.28	54.1477	0.273498
0.29	54.1642	0.304058
0.3	54.1817	0.336417
0.31	54.2003	0.370859
0.32	54.2202	0.407788
0.33	54.2418	0.44771
0.34	54.2653	0.491204
0.35	54.291	0.538901
0.36	54.3194	0.591469
0.37	54.3508	0.649591
0.38	54.3855	0.713951
0.39	54.424	0.785201
0.4	54.4665	0.863923
0.41	54.5133	0.95059
0.42	54.5646	1.04553
0.43	54.6204	1.14891
0.44	54.6808	1.26071
0.45	54.7456	1.38078
0.46	54.8148	1.50882
0.47	54.888	1.6444
0.48	54.965	1.78704
0.49	55.0455	1.93614
0.5	55.1292	2.09106
0.51	55.2156	2.2511
0.52	55.3044	2.4155
0.53	55.3951	2.58348
0.54	55.4873	2.75422
0.55	55.5805	2.9269
0.56	55.6744	3.10071
0.57	55.7684	3.27481
0.58	55.8622	3.44843
0.59	55.9552	3.62077
0.6	56.0472	3.79106
0.61	56.1376	3.95854
0.62	56.2261	4.12248
0.63	56.3124	4.28217
0.64	56.3959	4.43694
0.65	56.4765	4.58616
0.66	56.5538	4.72924
0.67	56.6275	4.86569
0.68	56.6973	4.99505
0.69	56.7632	5.11698
0.7	56.8249	5.23121
0.71	56.8823	5.33756
0.72	56.9354	5.43596
0.73	56.9843	5.5264
0.74	57.0289	5.60901
0.75	57.0693	5.68397
0.76	57.1058	5.75156
0.77	57.1386	5.81214
0.78	57.1677	5.86615
0.79	57.1936	5.91408
0.8	57.2165	5.95648
0.81	57.2367	5.99389
0.82	57.2545	6.02689
0.83	57.2702	6.05598
0.84	57.2841	6.08164
0.85	57.2963	6.10424
0.86	57.307	6.12407
0.87	57.3163	6.1413
0.88	57.3242	6.15598
0.89	57.3307	6.16801
0.9	57.3357	6.17719
0.91	57.3389	6.18318
0.92	57.3402	6.18552
0.93	57.3392	6.18369
0.94	57.3356	6.17707
0.95	57.3291	6.165
0.96	57.3193	6.14683
0.97	57.3058	6.1219
0.98	57.2884	6.08958
0.99	57.2666	6.04929
1	57.2403	6.00056
1.01	57.2092	5.94294
1.02	57.1731	5.87612
1.03	57.1319	5.79986
1.04	57.0856	5.71402
1.05	57.034	5.61854
1.06	56.9773	5.51349
1.07	56.9154	5.39898
1.08	56.8486	5.27521
1.09	56.7769	5.14246
1.1	56.7006	5.00105
1.11	56.6197	4.85136
1.12	56.5347	4.69381
1.13	56.4456	4.52885
1.14	56.3528	4.35697
1.15	56.2565	4.17866
1.16	56.157	3.99445
1.17	56.0546	3.80486
1.18	55.9496	3.61041
1.19	55.8423	3.41161
1.2	55.7328	3.20896
1.21	55.6216	3.00293
1.22	55.5087	2.79396
1.23	55.3945	2.58247
1.24	55.2792	2.36882
1.25	55.1628	2.15334
1.26	55.0456	1.9363
1.27	54.9277	1.71792
1.28	54.8091	1.4984
1.29	54.69	1.27785
1.3	54.5704	1.05635
1.31	54.4503	0.833956
1.32	54.3298	0.610656
1.33	54.2087	0.386422
1.34	54.0871	0.161202
1.35	53.9649	-0.0650744
1.36	53.8421	-0.292485
1.37	53.7186	-0.521106
1.38	53.5945	-0.751001
1.39	53.4696	-0.982214
1.4	53.344	-1.21476
1.41	53.2178	-1.44861
1.42	53.0908	-1.6837
1.43	52.9632	-1.91992
1.44	52.8352	-2.15707
1.45	52.7067	-2.39494
1.46	52.5781	-2.63321
1.47	52.4494	-2.87154
1.48	52.3209	-3.10949
1.49	52.1928	-3.3466
1.5	52.0656	-3.58231
1.51	51.9393	-3.81604
1.52	51.8145	-4.04715
1.53	51.6915	-4.27495
1.54	51.5707	-4.49875
1.55	51.4524	-4.71779
1.56	51.3371	-4.93134
1.57	51.2251	-5.13863
1.58	51.117	-5.33893
1.59	51.013	-5.5315
1.6	50.9136	-5.71562
1.61	50.8191	-5.89063
1.62	50.7298	-6.05588
1.63	50.6462	-6.21078
1.64	50.5684	-6.35479
1.65	50.4968	-6.48742
1.66	50.4316	-6.60824
1.67	50.3729	-6.71687
1.68	50.321	-6.813
1.69	50.276	-6.89637
1.7	50.2379	-6.96678
1.71	50.207	-7.02406
1.72	50.1832	-7.06813
1.73	50.1666	-7.09893
1.74	50.1571	-7.11644
1.75	50.1548	-7.12072
1.76	50.1596	-7.11181
1.77	50.1715	-7.08983
1.78	50.1904	-7.0549
1.79	50.2161	-7.00718
1.8	50.2487	-6.94684
1.81	50.288	-6.87408
1.82	50.3339	-6.78909
1.83	50.3863	-6.69209
1.84	50.445	-6.5833
1.85	50.51	-6.46293
1.86	50.5811	-6.33122
1.87	50.6583	-6.18838
1.88	50.7413	-6.03463
1.89	50.8301	-5.87019
1.9	50.9246	-5.69528
1.91	51.0246	-5.51009
1.92	51.13	-5.31484
1.93	51.2407	-5.10972
1.94	51.3567	-4.89495
1.95	51.4778	-4.6707
1.96	51.6039	-4.43721
1.97	51.7349	-4.19466
1.98	51.8706	-3.94329
1.99	52.011	-3.68332
2	52.1559	-3.41501
2.01	52.3051	-3.13863
2.02	52.4586	-2.85447
2.03	52.6161	-2.56286
2.04	52.7774	-2.26415
2.05	52.9423	-1.95874
2.06	53.1106	-1.64705
2.07	53.282	-1.32956
2.08	53.4563	-1.00677
2.09	53.6332	-0.679213
2.1	53.8124	-0.347482
2.11	53.9934	-0.012188
2.12	54.1761	0.326022
2.13	54.3599	0.666473
2.14	54.5446	1.00846
2.15	54.7297	1.35127
2.16	54.9148	1.69416
2.17	55.0996	2.03638
2.18	55.2837	2.37717
2.19	55.4665	2.71577
2.2	55.6478	3.05143
2.21	55.827	3.38338
2.22	56.0039	3.7109
2.23	56.178	4.03324
2.24	56.3488	4.3497
2.25	56.5162	4.65959
2.26	56.6796	4.96223
2.27	56.8388	5.25699
