t	V	DV/V0 in %
0.01	35.9912	-0.0245
0.02	35.9746	-0.070645
0.03	35.9512	-0.135692
0.04	35.9217	-0.217408
0.05	35.887	-0.313904
0.06	35.8475	-0.423577
0.07	35.8038	-0.545039
0.08	35.7563	-0.677065
0.09	35.7053	-0.818555
0.1	35.6513	-0.96851
0.11	35.5946	-1.12601
0.12	35.5355	-1.29019
0.13	35.4743	-1.46026
0.14	35.4112	-1.63547
0.15	35.3466	-1.81513
0.16	35.2805	-1.99859
0.17	35.2133	-2.18526
0.18	35.1452	-2.37458
0.19	35.0762	-2.56603
0.2	35.0067	-2.75913
0.21	34.9368	-2.95342
0.22	34.8665	-3.14849
0.23	34.7962	-3.34392
0.24	34.7258	-3.53931
0.25	34.6557	-3.73428
0.26	34.5858	-3.92844
0.27	34.5163	-4.12141
0.28	34.4474	-4.31277
0.29	34.3792	-4.50214
0.3	34.3119	-4.68909
0.31	34.2457	-4.87319
0.32	34.1806	-5.05401
0.33	34.1168	-5.2311
0.34	34.0546	-5.404
0.35	33.994	-5.57226
0.36	33.9353	-5.73541
0.37	33.8785	-5.893
0.38	33.8239	-6.0446
0.39	33.7717	-6.18977
0.4	33.7219	-6.3281
0.41	33.6747	-6.4592
0.42	33.6302	-6.58273
0.43	33.5886	-6.69835
0.44	33.5499	-6.80578
0.45	33.5143	-6.90478
0.46	33.4818	-6.99513
0.47	33.4524	-7.07668
0.48	33.4262	-7.14932
0.49	33.4033	-7.21299
0.5	33.3836	-7.26766
0.51	33.3672	-7.31337
0.52	33.3539	-7.35019
0.53	33.3438	-7.37826
0.54	33.3368	-7.39773
0.55	33.3328	-7.40883
0.56	33.3318	-7.41179
0.57	33.3335	-7.40691
0.58	33.338	-7.39451
0.59	33.345	-7.37493
0.6	33.3545	-7.34855
0.61	33.3663	-7.31578
0.62	33.3803	-7.27703
0.63	33.3962	-7.23273
0.64	33.414	-7.18333
0.65	33.4335	-7.12927
0.66	33.4544	-7.07102
0.67	33.4767	-7.00903
0.68	33.5003	-6.94375
0.69	33.5248	-6.87562
0.7	33.5502	-6.80508
0.71	33.5763	-6.73255
0.72	33.603	-6.65844
0.73	33.6301	-6.58314
0.74	33.6575	-6.50702
0.75	33.685	-6.43044
0.76	33.7127	-6.35373
0.77	33.7402	-6.2772
0.78	33.7676	-6.20115
0.79	33.7947	-6.12583
0.8	33.8215	-6.05151
0.81	33.8478	-5.9784
0.82	33.8736	-5.90673
0.83	33.8988	-5.83666
0.84	33.9234	-5.76839
0.85	33.9473	-5.70206
0.86	33.9704	-5.63781
0.87	33.9927	-5.57578
0.88	34.0142	-5.51609
0.89	34.0348	-5.45884
0.9	34.0545	-5.40414
0.91	34.0733	-5.35208
0.92	34.091	-5.30275
0.93	34.1077	-5.25626
0.94	34.1234	-5.21268
0.95	34.138	-5.1721
0.96	34.1515	-5.13462
0.97	34.1639	-5.10032
0.98	34.1751	-5.06929
0.99	34.185	-5.04161
1	34.1937	-5.01738
1.01	34.2012	-4.99666
