t	V	DV/V0 in %
0.01	35.9912	-0.0244988
0.02	35.9758	-0.0673047
0.03	35.9581	-0.116331
0.04	35.9399	-0.166922
0.05	35.9217	-0.217501
0.06	35.9029	-0.269598
0.07	35.8833	-0.324278
0.08	35.8631	-0.380175
0.09	35.8436	-0.434447
0.1	35.8256	-0.484544
0.11	35.8093	-0.529739
0.12	35.7943	-0.571348
0.13	35.7798	-0.611712
0.14	35.765	-0.652911
0.15	35.7495	-0.695919
0.16	35.7334	-0.740577
0.17	35.717	-0.786113
0.18	35.7006	-0.831793
0.19	35.6842	-0.877246
0.2	35.6679	-0.922363
0.21	35.6519	-0.966913
0.22	35.6363	-1.0102
0.23	35.6216	-1.05105
0.24	35.6083	-1.08814
0.25	35.5966	-1.12057
0.26	35.5866	-1.14829
0.27	35.578	-1.1721
0.28	35.5704	-1.19335
0.29	35.5632	-1.21341
0.3	35.5561	-1.23314
0.31	35.549	-1.25283
0.32	35.542	-1.27224
0.33	35.5353	-1.29089
0.34	35.529	-1.30824
0.35	35.5234	-1.32377
0.36	35.5187	-1.33687
0.37	35.5152	-1.34679
0.38	35.513	-1.35274
0.39	35.5126	-1.35398
0.4	35.514	-1.35009
0.41	35.5172	-1.34102
0.42	35.5222	-1.32713
0.43	35.5287	-1.30903
0.44	35.5365	-1.28744
0.45	35.5453	-1.26303
0.46	35.5549	-1.23638
0.47	35.5651	-1.20799
0.48	35.5758	-1.17826
0.49	35.5869	-1.14753
0.5	35.5982	-1.11606
0.51	35.6097	-1.08403
0.52	35.6214	-1.05154
0.53	35.6333	-1.01865
0.54	35.6452	-0.985428
0.55	35.6573	-0.952002
0.56	35.6693	-0.918584
0.57	35.6812	-0.885466
0.58	35.6929	-0.852984
0.59	35.7043	-0.821477
0.6	35.7151	-0.791254
0.61	35.7255	-0.762569
0.62	35.7352	-0.735614
0.63	35.7442	-0.710519
0.64	35.7526	-0.687347
0.65	35.7602	-0.666092
0.66	35.7672	-0.646681
0.67	35.7736	-0.628982
0.68	35.7794	-0.612828
0.69	35.7847	-0.598049
0.7	35.7896	-0.5845
0.71	35.794	-0.572087
