t	V	DV/V0 in %
0.01	35.9912	-0.0245001
0.02	35.9736	-0.0734462
0.03	35.9474	-0.146082
0.04	35.9129	-0.241867
0.05	35.8702	-0.360558
0.06	35.8193	-0.501997
0.07	35.7603	-0.665898
0.08	35.6934	-0.851755
0.09	35.6188	-1.05885
0.1	35.5369	-1.28629
0.11	35.4481	-1.53311
0.12	35.3526	-1.79832
0.13	35.2509	-2.08093
0.14	35.1432	-2.37999
0.15	35.03	-2.69457
0.16	34.9114	-3.02376
0.17	34.788	-3.36654
0.18	34.6601	-3.72186
0.19	34.5281	-4.08849
0.2	34.3926	-4.46508
0.21	34.254	-4.85014
0.22	34.1129	-5.24205
0.23	33.9699	-5.6391
0.24	33.8258	-6.03953
0.25	33.681	-6.44155
0.26	33.5364	-6.84338
0.27	33.3924	-7.24329
0.28	33.2497	-7.63959
0.29	33.109	-8.03063
0.3	32.9706	-8.41487
0.31	32.8353	-8.79081
0.32	32.7035	-9.15705
0.33	32.5756	-9.5123
0.34	32.4521	-9.85535
0.35	32.3334	-10.1851
0.36	32.2198	-10.5007
0.37	32.1116	-10.8012
0.38	32.0091	-11.0859
0.39	31.9124	-11.3543
0.4	31.8219	-11.6059
0.41	31.7375	-11.8403
0.42	31.6594	-12.0573
0.43	31.5876	-12.2566
0.44	31.5222	-12.4383
0.45	31.4631	-12.6024
0.46	31.4104	-12.749
0.47	31.3638	-12.8782
0.48	31.3235	-12.9904
0.49	31.2891	-13.0859
0.5	31.2606	-13.1651
0.51	31.2377	-13.2285
0.52	31.2205	-13.2764
0.53	31.2086	-13.3093
0.54	31.202	-13.3277
0.55	31.2005	-13.3321
0.56	31.2038	-13.3227
0.57	31.212	-13.3001
0.58	31.2248	-13.2645
0.59	31.2421	-13.2163
0.6	31.2639	-13.1559
0.61	31.29	-13.0834
0.62	31.3202	-12.9994
0.63	31.3546	-12.9039
0.64	31.3929	-12.7974
0.65	31.4352	-12.6801
0.66	31.4812	-12.5523
0.67	31.5308	-12.4143
0.68	31.584	-12.2665
0.69	31.6407	-12.1093
0.7	31.7006	-11.9429
0.71	31.7636	-11.7677
0.72	31.8297	-11.5842
0.73	31.8986	-11.3927
0.74	31.9703	-11.1937
0.75	32.0445	-10.9876
0.76	32.1211	-10.7748
0.77	32.1999	-10.5559
0.78	32.2807	-10.3313
0.79	32.3634	-10.1017
0.8	32.4477	-9.86762
0.81	32.5333	-9.62967
0.82	32.6201	-9.38853
0.83	32.7078	-9.14487
0.84	32.7962	-8.89942
0.85	32.885	-8.6529
0.86	32.9738	-8.40606
0.87	33.0625	-8.15967
0.88	33.1508	-7.9145
0.89	33.2383	-7.67129
0.9	33.3249	-7.43081
0.91	33.4102	-7.1938
0.92	33.494	-6.96099
0.93	33.5761	-6.73309
0.94	33.6561	-6.51079
0.95	33.7339	-6.29477
0.96	33.8092	-6.08568
0.97	33.8817	-5.88414
0.98	33.9513	-5.69078
0.99	34.0178	-5.50616
1	34.0809	-5.33085
1.01	34.1405	-5.16537
1.02	34.1963	-5.01023
1.03	34.2483	-4.86589
1.04	34.2962	-4.73278
1.05	34.3399	-4.61129
1.06	34.3794	-4.50176
1.07	34.4144	-4.4045
1.08	34.4449	-4.31977
1.09	34.4708	-4.24776
1.1	34.4921	-4.18863
1.11	34.5087	-4.14249
1.12	34.5206	-4.10938
1.13	34.5278	-4.08931
1.14	34.5304	-4.08222
1.15	34.5283	-4.08801
1.16	34.5216	-4.10655
1.17	34.5105	-4.13763
1.18	34.4948	-4.18101
1.19	34.4749	-4.23642
1.2	34.4507	-4.30353
1.21	34.4225	-4.38198
1.22	34.3903	-4.47137
1.23	34.3543	-4.57127
1.24	34.3148	-4.6812
1.25	34.2718	-4.80066
1.26	34.2255	-4.92913
1.27	34.1762	-5.06605
1.28	34.1241	-5.21084
1.29	34.0694	-5.36291
1.3	34.0122	-5.52163
1.31	33.9529	-5.68638
1.32	33.8917	-5.85652
1.33	33.8287	-6.0314
1.34	33.7643	-6.21038
1.35	33.6986	-6.3928
1.36	33.6319	-6.57801
1.37	33.5645	-6.76538
1.38	33.4965	-6.95425
1.39	33.4282	-7.14401
1.4	33.3598	-7.33403
1.41	33.2915	-7.52371
1.42	33.2235	-7.71244
1.43	33.1561	-7.89967
1.44	33.0895	-8.08481
1.45	33.0238	-8.26733
1.46	32.9592	-8.44671
1.47	32.8959	-8.62243
1.48	32.8342	-8.79401
1.49	32.774	-8.961
1.5	32.7157	-9.12295
1.51	32.6594	-9.27944
1.52	32.6052	-9.43009
