t	MS	MT0	MT
0.01	-0.0245	-0.0245001	-0.0244988
0.02	-0.070645	-0.0734462	-0.0673047
0.03	-0.135692	-0.146082	-0.116331
0.04	-0.217408	-0.241867	-0.166922
0.05	-0.313904	-0.360558	-0.217501
0.06	-0.423577	-0.501997	-0.269598
0.07	-0.545039	-0.665898	-0.324278
0.08	-0.677065	-0.851755	-0.380175
0.09	-0.818555	-1.05885	-0.434447
0.1	-0.96851	-1.28629	-0.484544
0.11	-1.12601	-1.53311	-0.529739
0.12	-1.29019	-1.79832	-0.571348
0.13	-1.46026	-2.08093	-0.611712
0.14	-1.63547	-2.37999	-0.652911
0.15	-1.81513	-2.69457	-0.695919
0.16	-1.99859	-3.02376	-0.740577
0.17	-2.18526	-3.36654	-0.786113
0.18	-2.37458	-3.72186	-0.831793
0.19	-2.56603	-4.08849	-0.877246
0.2	-2.75913	-4.46508	-0.922363
0.21	-2.95342	-4.85014	-0.966913
0.22	-3.14849	-5.24205	-1.0102
0.23	-3.34392	-5.6391	-1.05105
0.24	-3.53931	-6.03953	-1.08814
0.25	-3.73428	-6.44155	-1.12057
0.26	-3.92844	-6.84338	-1.14829
0.27	-4.12141	-7.24329	-1.1721
0.28	-4.31277	-7.63959	-1.19335
0.29	-4.50214	-8.03063	-1.21341
0.3	-4.68909	-8.41487	-1.23314
0.31	-4.87319	-8.79081	-1.25283
0.32	-5.05401	-9.15705	-1.27224
0.33	-5.2311	-9.5123	-1.29089
0.34	-5.404	-9.85535	-1.30824
0.35	-5.57226	-10.1851	-1.32377
0.36	-5.73541	-10.5007	-1.33687
0.37	-5.893	-10.8012	-1.34679
0.38	-6.0446	-11.0859	-1.35274
0.39	-6.18977	-11.3543	-1.35398
0.4	-6.3281	-11.6059	-1.35009
0.41	-6.4592	-11.8403	-1.34102
0.42	-6.58273	-12.0573	-1.32713
0.43	-6.69835	-12.2566	-1.30903
0.44	-6.80578	-12.4383	-1.28744
0.45	-6.90478	-12.6024	-1.26303
0.46	-6.99513	-12.749	-1.23638
0.47	-7.07668	-12.8782	-1.20799
0.48	-7.14932	-12.9904	-1.17826
0.49	-7.21299	-13.0859	-1.14753
0.5	-7.26766	-13.1651	-1.11606
0.51	-7.31337	-13.2285	-1.08403
0.52	-7.35019	-13.2764	-1.05154
0.53	-7.37826	-13.3093	-1.01865
0.54	-7.39773	-13.3277	-0.985428
0.55	-7.40883	-13.3321	-0.952002
0.56	-7.41179	-13.3227	-0.918584
0.57	-7.40691	-13.3001	-0.885466
0.58	-7.39451	-13.2645	-0.852984
0.59	-7.37493	-13.2163	-0.821477
0.6	-7.34855	-13.1559	-0.791254
0.61	-7.31578	-13.0834	-0.762569
0.62	-7.27703	-12.9994	-0.735614
0.63	-7.23273	-12.9039	-0.710519
0.64	-7.18333	-12.7974	-0.687347
0.65	-7.12927	-12.6801	-0.666092
0.66	-7.07102	-12.5523	-0.646681
0.67	-7.00903	-12.4143	-0.628982
0.68	-6.94375	-12.2665	-0.612828
0.69	-6.87562	-12.1093	-0.598049
0.7	-6.80508	-11.9429	-0.5845
0.71	-6.73255	-11.7677	-0.572087
0.72	-6.65844	-11.5842	-0.56077
0.73	-6.58314	-11.3927	-0.550562
0.74	-6.50702	-11.1937	-0.541518
0.75	-6.43044	-10.9876	-0.533718
0.76	-6.35373	-10.7748	-0.527251
